,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
0,Paulo Gazzaniga,ar ARG,PO,32-072,28.0,2,0,0,0,6,0,0,0,2,0.0,0.0,0,27.0,7.0,0.0,100.0,Partidos
1,Aleix García,es ESP,CC,26-260,26.8,3,1,0,23,30,0,147,30,22,0.0,0.0,0,174.0,11.0,18.0,37.9,Partidos
2,Miguel Gutiérrez,es ESP,"DF,CC",22-231,26.7,3,0,0,19,19,4,79,18,16,0.0,0.0,0,168.0,18.0,14.0,56.3,Partidos
3,Sávio,br BRA,"CC,DL",19-339,25.1,4,0,0,22,45,13,89,14,22,1.0,0.0,0,133.0,4.0,13.0,23.5,Partidos
4,Iván Martín,es ESP,"CC,DL",25-029,21.7,4,0,0,24,25,1,4,15,20,0.0,1.0,0,100.0,6.0,20.0,23.1,Partidos
5,Daley Blind,nl NED,DF,34-005,23.0,5,0,0,12,6,0,8,16,13,0.0,0.0,0,108.0,29.0,24.0,54.7,Partidos
6,Artem Dovbyk,ua UKR,DL,26-267,19.3,1,0,0,20,11,20,0,0,2,0.0,0.0,0,16.0,29.0,32.0,47.5,Partidos
7,Eric García,es ESP,DF,23-065,19.6,3,0,0,18,19,3,4,22,21,0.0,0.0,0,89.0,26.0,30.0,46.4,Partidos
8,Viktor Tsyhankov,ua UKR,"CC,DL",26-120,17.9,0,0,0,13,30,4,51,10,17,0.0,1.0,0,74.0,13.0,13.0,50.0,Partidos
9,Yan Couto,br BRA,"DF,CC",21-285,19.1,6,0,0,25,30,6,83,6,24,1.0,1.0,0,113.0,3.0,10.0,23.1,Partidos
10,Yangel Herrera,ve VEN,CC,26-060,16.8,5,0,0,54,47,2,20,16,24,1.0,0.0,0,95.0,51.0,37.0,58.0,Partidos
11,David López,es ESP,"DF,CC",34-157,15.0,3,0,0,9,12,1,0,16,18,0.0,0.0,0,92.0,22.0,29.0,43.1,Partidos
12,Arnau Martinez,es ESP,DF,20-324,11.0,4,0,0,13,18,1,6,10,14,0.0,0.0,0,52.0,8.0,9.0,47.1,Partidos
13,Portu,es ESP,"CC,DL",31-298,8.9,1,0,0,10,10,6,17,1,10,0.0,0.0,0,23.0,4.0,14.0,22.2,Partidos
14,Cristhian Stuani,uy URU,DL,37-154,8.1,5,0,0,27,7,4,1,5,11,0.0,0.0,0,12.0,22.0,22.0,50.0,Partidos
15,Juanpe,es ESP,DF,32-319,6.7,4,0,0,5,0,0,1,6,4,0.0,0.0,0,22.0,18.0,11.0,62.1,Partidos
16,Pablo Torre,es ESP,"CC,DL",20-346,5.6,0,0,0,6,14,0,4,4,1,0.0,0.0,0,25.0,0.0,5.0,0.0,Partidos
17,Valery Fernández,es ESP,"CC,DF",24-112,5.0,1,0,0,5,13,3,13,1,7,0.0,0.0,0,28.0,2.0,3.0,40.0,Partidos
18,Jhon Solis,co COL,CC,19-163,2.8,0,0,0,5,3,0,0,4,4,0.0,0.0,0,14.0,3.0,11.0,21.4,Partidos
19,Antal Yaakobishvili,hu HUN,DF,19-246,0.7,0,0,0,1,0,0,0,3,1,0.0,0.0,0,3.0,2.0,1.0,66.7,Partidos
20,Ibrahima Kebe,ml MLI,CC,23-225,0.1,1,0,0,1,2,0,0,1,1,0.0,0.0,0,5.0,3.0,2.0,60.0,Partidos
21,Bernardo Espinosa,co COL,DF,34-247,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1.0,1.0,1.0,50.0,Partidos
22,Silvi Clúa,es ESP,CC,19-045,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
23,Jastin García,es ESP,CC,20-059,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
24,Total del equipo,,,26.7,28.0,56,1,0,313,348,68,527,198,255,3.0,3.0,0,1374.0,282.0,319.0,46.9,
25,Total del oponente,,,28.0,28.0,71,3,1,363,295,37,555,217,305,2.0,3.0,0,1345.0,316.0,282.0,52.8,
26,İlkay Gündoğan,de GER,CC,33-142,25.3,3,0,0,10,30,4,122,18,13,1.0,0.0,0,149.0,6.0,16.0,27.3,Partidos
27,Robert Lewandowski,pl POL,DL,35-206,23.0,4,0,0,19,44,19,12,5,5,1.0,0.0,0,40.0,39.0,38.0,50.6,Partidos
28,Jules Koundé,fr FRA,DF,25-123,22.9,1,0,0,16,9,2,28,20,17,0.0,0.0,0,118.0,60.0,35.0,63.2,Partidos
29,João Cancelo,pt POR,DF,29-292,20.8,4,0,0,28,22,4,63,20,34,0.0,0.0,0,130.0,21.0,22.0,48.8,Partidos
30,Andreas Christensen,dk DEN,"DF,CC",27-339,17.5,4,0,0,18,6,0,0,17,10,0.0,0.0,0,82.0,44.0,18.0,71.0,Partidos
31,Frenkie de Jong,nl NED,CC,26-307,17.7,7,0,0,18,22,1,24,13,26,0.0,0.0,0,116.0,23.0,17.0,57.5,Partidos
32,Marc-André ter Stegen,de GER,PO,31-319,18.0,2,0,0,0,1,0,0,0,0,0.0,0.0,0,38.0,3.0,0.0,100.0,Partidos
33,Ronald Araújo,uy URU,DF,25-007,17.9,5,0,0,24,9,0,8,9,18,0.0,0.0,0,80.0,48.0,22.0,68.6,Partidos
34,João Félix,pt POR,DL,24-125,13.4,3,0,0,15,45,7,15,8,13,0.0,0.0,0,57.0,7.0,8.0,46.7,Partidos
35,Alejandro Balde,es ESP,DF,20-148,15.3,1,0,0,9,18,4,37,5,11,0.0,0.0,0,67.0,12.0,13.0,48.0,Partidos
36,Lamine Yamal,es ESP,DL,16-245,16.4,2,0,0,15,36,3,57,15,30,1.0,0.0,0,76.0,2.0,11.0,15.4,Partidos
37,Pedri,es ESP,"CC,DL",21-110,12.1,3,0,0,9,17,1,9,10,18,0.0,0.0,0,60.0,0.0,3.0,0.0,Partidos
38,Raphinha,br BRA,"DL,CC",27-091,10.1,2,1,0,11,21,5,56,7,5,1.0,0.0,0,57.0,9.0,4.0,69.2,Partidos
39,Gavi,es ESP,"CC,DL",19-222,10.5,5,0,0,31,23,4,8,8,21,0.0,0.0,0,44.0,13.0,26.0,33.3,Partidos
40,Ferrán Torres,es ESP,DL,24-014,10.4,2,0,0,6,9,12,15,3,5,1.0,0.0,0,36.0,2.0,11.0,15.4,Partidos
41,Iñaki Peña,es ESP,PO,25-012,10.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,12.0,4.0,0.0,100.0,Partidos
42,Oriol Romeu,es ESP,CC,32-172,8.4,4,0,0,14,10,0,6,9,17,0.0,0.0,0,48.0,13.0,16.0,44.8,Partidos
43,Iñigo Martínez,es ESP,DF,32-302,8.8,4,0,0,8,8,1,1,7,5,0.0,0.0,0,47.0,26.0,23.0,53.1,Partidos
44,Pau Cubarsí,es ESP,DF,17-052,8.1,0,0,0,5,1,0,1,7,10,0.0,0.0,0,27.0,16.0,17.0,48.5,Partidos
45,Fermin López,es ESP,"CC,DL",20-308,8.9,2,0,0,26,12,2,6,2,13,0.0,0.0,0,42.0,5.0,12.0,29.4,Partidos
46,Sergi Roberto,es ESP,"CC,DF",32-036,4.0,1,0,0,2,1,1,8,2,4,0.0,0.0,0,22.0,2.0,5.0,28.6,Partidos
47,Marcos Alonso,es ESP,DF,33-077,1.8,0,0,0,4,3,0,8,4,3,0.0,0.0,0,11.0,2.0,1.0,66.7,Partidos
48,Vitor Roque,br BRA,DL,19-015,2.2,3,1,1,8,5,2,1,0,1,0.0,0.0,0,5.0,3.0,3.0,50.0,Partidos
49,Héctor Fort,es ESP,DF,17-225,1.1,0,0,0,4,1,0,1,2,1,0.0,0.0,0,5.0,0.0,1.0,0.0,Partidos
50,Marc Guiu,es ESP,"DL,CC",18-070,0.8,1,0,0,1,2,1,0,0,0,0.0,0.0,0,1.0,1.0,3.0,25.0,Partidos
51,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-088,0.8,0,0,0,1,3,0,7,0,1,0.0,0.0,0,2.0,1.0,2.0,33.3,Partidos
52,Eric García,es ESP,DF,23-065,0.6,1,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Partidos
53,Ansu Fati,es ESP,"CC,DL",21-135,0.6,0,0,0,0,4,1,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,Partidos
54,Total del equipo,,,26.7,28.0,64,2,1,303,363,74,493,191,281,5.0,0.0,0,1377.0,364.0,328.0,52.6,
